module,word,example_index,original_jp,plain_jp,fixed_jp,status,unresolved_terms
n1-adverbs,ひとまず,0,<span class='ex-highlight'>ひとまず</span>この<ruby>案<rt>あん</rt></ruby>で<ruby>進<rt>すす</rt></ruby>めましょう。,ひとまずこの案で進めましょう。,<span class='ex-highlight'>ひとまず</span>この<ruby>案<rt>あん</rt></ruby>で<ruby>進<rt>すす</rt></ruby>めましょう。,ok,
n1-adverbs,いったん,0,<span class='ex-highlight'>いったん</span><ruby>休<rt>きゅう</rt></ruby><ruby>憩<rt>けい</rt></ruby>にしましょう。,いったん休憩にしましょう。,<span class='ex-highlight'>いったん</span><ruby>休<rt>きゅう</rt></ruby><ruby>憩<rt>けい</rt></ruby>にしましょう。,ok,
n1-adverbs,かねがね,0,<ruby>噂<rt>うわさ</rt></ruby>は<span class='ex-highlight'>かねがね</span><ruby>聞<rt>き</rt></ruby>いております。,噂はかねがね聞いております。,<ruby>噂<rt>うわさ</rt></ruby>は<span class='ex-highlight'>かねがね</span><ruby>聞<rt>き</rt></ruby>いております。,ok,
n1-adverbs,しばし,0,<span class='ex-highlight'>しばし</span>の<ruby>別<rt>わか</rt></ruby>れを<ruby>惜<rt>お</rt></ruby>しむ。,しばしの別れを惜しむ。,<span class='ex-highlight'>しばし</span>の<ruby>別<rt>わか</rt></ruby>れを<ruby>惜<rt>お</rt></ruby>しむ。,ok,
n1-adverbs,相変わらず,0,<ruby>彼<rt>かれ</rt></ruby>は<span class='ex-highlight'><ruby>相<rt>あい</rt></ruby><ruby>変<rt>か</rt></ruby>わらず</span><ruby>忙<rt>いそが</rt></ruby>しそうだ。,彼は相変わらず忙しそうだ。,<ruby>彼<rt>かれ</rt></ruby>は<span class='ex-highlight'><ruby>相<rt>あい</rt></ruby><ruby>変<rt>か</rt></ruby>わらず</span><ruby>忙<rt>いそが</rt></ruby>しそうだ。,ok,
n1-adverbs,当分,0,<span class='ex-highlight'><ruby>当<rt>とう</rt></ruby><ruby>分<rt>ぶん</rt></ruby></span>は<ruby>今<rt>いま</rt></ruby>の<ruby>仕<rt>し</rt></ruby><ruby>事<rt>ごと</rt></ruby>を<ruby>続<rt>つづ</rt></ruby>けます。,当分は今の仕事を続けます。,<span class='ex-highlight'><ruby>当<rt>とう</rt></ruby><ruby>分<rt>ぶん</rt></ruby></span>は<ruby>今<rt>いま</rt></ruby>の<ruby>仕<rt>し</rt></ruby><ruby>事<rt>ごと</rt></ruby>を<ruby>続<rt>つづ</rt></ruby>けます。,ok,
n1-adverbs,絶えず,0,<ruby>水<rt>みず</rt></ruby>が<span class='ex-highlight'><ruby>絶<rt>た</rt></ruby>えず</span><ruby>流<rt>なが</rt></ruby>れている。,水が絶えず流れている。,<ruby>水<rt>みず</rt></ruby>が<span class='ex-highlight'><ruby>絶<rt>た</rt></ruby>えず</span><ruby>流<rt>なが</rt></ruby>れている。,ok,
n1-adverbs,あらかじめ,0,<span class='ex-highlight'>あらかじめ</span><ruby>連<rt>れん</rt></ruby><ruby>絡<rt>らく</rt></ruby>しておきます。,あらかじめ連絡しておきます。,<span class='ex-highlight'>あらかじめ</span><ruby>連<rt>れん</rt></ruby><ruby>絡<rt>らく</rt></ruby>しておきます。,ok,
n1-adverbs,あらかじめ,1,<span class='ex-highlight'>あらかじめ</span><ruby>資<rt>し</rt></ruby><ruby>料<rt>りょう</rt></ruby>を<ruby>用<rt>よう</rt></ruby><ruby>意<rt>い</rt></ruby>しておく。,あらかじめ資料を用意しておく。,<span class='ex-highlight'>あらかじめ</span><ruby>資<rt>し</rt></ruby><ruby>料<rt>りょう</rt></ruby>を<ruby>用<rt>よう</rt></ruby><ruby>意<rt>い</rt></ruby>しておく。,ok,
n1-adverbs,前もって,0,<span class='ex-highlight'><ruby>前<rt>まえ</rt></ruby>もって</span><ruby>準<rt>じゅん</rt></ruby><ruby>備<rt>び</rt></ruby>をしておく。,前もって準備をしておく。,<span class='ex-highlight'><ruby>前<rt>まえ</rt></ruby>もって</span><ruby>準<rt>じゅん</rt></ruby><ruby>備<rt>び</rt></ruby>をしておく。,ok,
