module,word,source_tone_raw,imported_tone,dictionary_tone,status,source,note
n1-adverbs,ひとまず,②,2,,needs_manual_dictionary_check,Numbers normalized,自动访问 OJAD/Kanjium 失败，保留表格音调并列入人工校对。
n1-adverbs,いったん,⓪,0,,needs_manual_dictionary_check,Numbers normalized,自动访问 OJAD/Kanjium 失败，保留表格音调并列入人工校对。
n1-adverbs,かねがね,⓪,0,,needs_manual_dictionary_check,Numbers normalized,自动访问 OJAD/Kanjium 失败，保留表格音调并列入人工校对。
n1-adverbs,しばし,①,1,,needs_manual_dictionary_check,Numbers normalized,自动访问 OJAD/Kanjium 失败，保留表格音调并列入人工校对。
n1-adverbs,相変わらず,⓪,0,,needs_manual_dictionary_check,Numbers normalized,自动访问 OJAD/Kanjium 失败，保留表格音调并列入人工校对。
n1-adverbs,当分,⓪,0,,needs_manual_dictionary_check,Numbers normalized,自动访问 OJAD/Kanjium 失败，保留表格音调并列入人工校对。
n1-adverbs,絶えず,①,1,,needs_manual_dictionary_check,Numbers normalized,自动访问 OJAD/Kanjium 失败，保留表格音调并列入人工校对。
n1-adverbs,あらかじめ,⓪,0,,needs_manual_dictionary_check,Numbers normalized,自动访问 OJAD/Kanjium 失败，保留表格音调并列入人工校对。 重复词条已合并。
n1-adverbs,前もって,③,3,,needs_manual_dictionary_check,Numbers normalized,自动访问 OJAD/Kanjium 失败，保留表格音调并列入人工校对。
n1-adverbs,かねて,①,1,,needs_manual_dictionary_check,Numbers normalized,自动访问 OJAD/Kanjium 失败，保留表格音调并列入人工校对。
n1-adverbs,いつの間に,④,4,,needs_manual_dictionary_check,Numbers normalized,自动访问 OJAD/Kanjium 失败，保留表格音调并列入人工校对。
n1-adverbs,もはや,①,1,,needs_manual_dictionary_check,Numbers normalized,自动访问 OJAD/Kanjium 失败，保留表格音调并列入人工校对。
n1-adverbs,従来,①,1,,needs_manual_dictionary_check,Numbers normalized,自动访问 OJAD/Kanjium 失败，保留表格音调并列入人工校对。
n1-adverbs,とっくに,⓪,0,,needs_manual_dictionary_check,Numbers normalized,自动访问 OJAD/Kanjium 失败，保留表格音调并列入人工校对。
n1-adverbs,いずれ,⓪,0,,needs_manual_dictionary_check,Numbers normalized,自动访问 OJAD/Kanjium 失败，保留表格音调并列入人工校对。
n1-adverbs,今に,①,1,,needs_manual_dictionary_check,Numbers normalized,自动访问 OJAD/Kanjium 失败，保留表格音调并列入人工校对。
n1-adverbs,今にも,①,1,,needs_manual_dictionary_check,Numbers normalized,自动访问 OJAD/Kanjium 失败，保留表格音调并列入人工校对。
n1-adverbs,そのうち,⓪,0,,needs_manual_dictionary_check,Numbers normalized,自动访问 OJAD/Kanjium 失败，保留表格音调并列入人工校对。
n1-adverbs,とっさに,⓪,0,,needs_manual_dictionary_check,Numbers normalized,自动访问 OJAD/Kanjium 失败，保留表格音调并列入人工校对。
n1-adverbs,近々,⓪,0,,needs_manual_dictionary_check,Numbers normalized,自动访问 OJAD/Kanjium 失败，保留表格音调并列入人工校对。
